Part,Section,Page,Name,5e Name,Race,Sex,Quantity,Additional Description
Into the Mists,Plea for Helpp,18,Arrigal,Assassin,Human,Male,1,Brightly colored clothes draped in loose folds. Hat hangs askew hdiing his eyes in shadow. Vistani.
Into the Mists,Mysterious Visitors,20,Vistani,Bandit,Human,,9,
Into the Mists,Mysterious Visitors,20,Stanimir,Mage,Human,Male,1,Vistani
Into the Mists,Mysterious Visitors,20,Damia,Spy,Human,Female,1,Vistani
Into the Mists,Mysterious Visitors,20,Ratka,Bandit Captain,Human,Male,1,Vistani
Into the Mists,Werewolves in the Mist,21,Zelraun Roaringhorn,Mage,Human,Male,1,Harper
Into the Mists,Werewolves in the Mist,21,Lanniver Strayl,Knight,Human,Male,1,Order of the Gauntlet
Into the Mists,Werewolves in the Mist,22,Eravien Haund,Noble,Half-elf,Male,1,Lords' Alliance
Into the Mists,Werewolves in the Mist,22,Davra Jassur,Assassin,Human,Female,1,Zhentarim
The Lands of Barovia,Random Encounters,29,Barovian Commoners,Commoner,,,18,
The Lands of Barovia,Random Encounters,29,Barovian Scouts,Scout,,,6,
The Lands of Barovia,Random Encounters,29,Vistani Bandits,Bandit,,,5,Smoking from pipes and drinking from wineskins.
The Lands of Barovia,Random Encounters,29,Skeletal Rider,Warhorse Skeleton,,,1,Clad in ruined chainmal.
The Lands of Barovia,Random Encounters,29,Skeletal Rider,Skeleton,,,1,Clad in ruined chainmal. Holds a rusted lantern that sheds no light
The Lands of Barovia,Random Encounters,29,Swarm of Raven,Swarm of Raven,,,4,
The Lands of Barovia,Random Encounters,29,Wereraven,,,,1,Black bird. Member of the Keepers of the Feather
The Lands of Barovia,Random Encounters,29,Dire Wolf,Dire Wolf,,,6,
The Lands of Barovia,Random Encounters,29,Wolf,Wolf,,,18,
The Lands of Barovia,Random Encounters,29,Berserker,Berserker,,,4,Wild-looking figure caked in gray mud.
The Lands of Barovia,Random Encounters,29,Werewolf,Werewolf,,,6,Human form. Large man in drab clothing wearing a tattered gray cloak. Shaggy black hair and thick mttonchops.
The Lands of Barovia,Random Encounters,29,Druid,Druid,,,1,Gaunt figure with wild hair and bare feet. Wearing a tattered gown of stitched animal skin.
The Lands of Barovia,Random Encounters,29,Twig Blight,Twig Blight,,,12,
The Lands of Barovia,Random Encounters,29,Needle Blight,Needle Blight,,,8,
The Lands of Barovia,Random Encounters,29,Scarecrow,Scarecrow,,,6,Gut stuffed with dead ravens. Long rusted knives for claws.
The Lands of Barovia,Random Encounters,29,Revenant,Revenant,,,1,Rusty armor and clutching gleaming sword in pale hand. Was a knight of the Order of the Silver Dragon.
The Lands of Barovia,Random Encounters,29,Ghost,Ghost,,,1,
